"","employees","salary2017","annual_salary","salary2018","raise"
"72","Employee 72",46714.8119141348,-3103.43638062477,43611.37553351,FALSE
"73","Employee 73",45129.4279075228,5758.14434792846,50887.5722554512,TRUE
"74","Employee 74",46002.7590184473,-4269.8179546278,41732.9410638195,FALSE
"75","Employee 75",43726.1515134014,821.363704744726,44547.5152181461,TRUE
"76","Employee 76",44330.9000693262,725.890614558011,45056.7906838842,TRUE
"77","Employee 77",48701.2900412083,179.079625522718,48880.369666731,TRUE
"78","Employee 78",43764.0914763324,-506.674774223939,43257.4167021085,FALSE
"79","Employee 79",47838.1279762834,-801.749536767602,47036.3784395158,FALSE
"80","Employee 80",41816.1789490841,9966.78226627409,51782.9612153582,TRUE
"81","Employee 81",48408.0868726596,4022.41649338976,52430.5033660494,TRUE
"82","Employee 82",41076.037962921,-3018.97001452744,38057.0679483935,FALSE
"83","Employee 83",42433.7020632811,-4515.24603064172,37918.4560326394,FALSE
"84","Employee 84",46363.1332735531,9401.37662226334,55764.5098958164,TRUE
"85","Employee 85",44889.8644465953,-130.4331922438,44759.4312543515,FALSE
"86","Employee 86",47294.4673034362,1282.66141051427,48577.1287139505,TRUE
"87","Employee 87",42540.3096689843,9868.43720427714,52408.7468732614,TRUE
"88","Employee 88",42445.2714785002,-3276.72080835328,39168.5506701469,FALSE
"89","Employee 89",46145.717294421,1169.6703103371,47315.3876047581,TRUE
"90","Employee 90",40831.6049771383,8562.92751384899,49394.5324909873,TRUE
"91","Employee 91",45901.5729487874,-3830.86820831522,42070.7047404721,FALSE
"92","Employee 92",43453.0607331544,2392.34240259975,45845.4031357542,TRUE
"93","Employee 93",45244.8753407225,6116.14901805297,51361.0243587755,TRUE
"94","Employee 94",48679.8622389324,-3690.62433484942,44989.237904083,FALSE
"95","Employee 95",41330.891775433,5758.01239931025,47088.9041747432,TRUE
"96","Employee 96",42399.192978628,7316.12077914178,49715.3137577698,TRUE
"97","Employee 97",42043.1985938922,-243.63714386709,41799.5614500251,FALSE
"98","Employee 98",44254.5416206121,7160.67932080477,51415.2209414169,TRUE
"99","Employee 99",47736.300888937,-7.14525231160223,47729.1556366254,FALSE
"100","Employee 100",49914.9130936712,-3019.94030363858,46894.9727900326,FALSE
